Survived,Pclass,Sex,Age,Fare,Tipo,Cluster,Metrica,Valor,Decision_Tree,Random_Forest,Visualizacao
,,,,,Feature,Feature Importance,Sex,0.28,,,Horizontal Bar
,,,,,Feature,Feature Importance,Pclass,0.22,,,Horizontal Bar
,,,,,Feature,Feature Importance,Fare,0.18,,,Horizontal Bar
,,,,,Feature,Feature Importance,Age,0.15,,,Horizontal Bar
,,,,,Feature,Feature Importance,FamilySize,0.12,,,Horizontal Bar
,,,,,Feature,Feature Importance,Embarked,0.05,,,Horizontal Bar
,,,,,Modelo,Modelo,Acurácia,,0.81,0.83,Gauge
,,,,,Modelo,Modelo,Precisão,,0.79,0.81,Gauge
,,,,,Modelo,Modelo,Recall,,0.69,0.72,Gauge
,,,,,Modelo,Modelo,F1,,0.73,0.76,Gauge
Não,2,1,22.0,7.25,Passageiro,,,,,,
Sim,0,0,38.0,71.2833,Passageiro,,,,,,
Sim,2,0,26.0,7.925,Passageiro,,,,,,
Sim,0,0,35.0,53.1,Passageiro,,,,,,
Não,2,1,35.0,8.05,Passageiro,,,,,,
Não,2,1,28.0,8.4583,Passageiro,,,,,,
Não,0,1,54.0,51.8625,Passageiro,,,,,,
Não,2,1,2.0,21.075,Passageiro,,,,,,
Sim,2,0,27.0,11.1333,Passageiro,,,,,,
Sim,1,0,14.0,30.0708,Passageiro,,,,,,
Sim,2,0,4.0,16.7,Passageiro,,,,,,
Sim,0,0,58.0,26.55,Passageiro,,,,,,
Não,2,1,20.0,8.05,Passageiro,,,,,,
Não,2,1,39.0,31.275,Passageiro,,,,,,
Não,2,0,14.0,7.8542,Passageiro,,,,,,
Sim,1,0,55.0,16.0,Passageiro,,,,,,
Não,2,1,2.0,29.125,Passageiro,,,,,,
Sim,1,1,28.0,13.0,Passageiro,,,,,,
Não,2,0,31.0,18.0,Passageiro,,,,,,
Sim,2,0,27.0,7.225,Passageiro,,,,,,
Não,1,1,35.0,26.0,Passageiro,,,,,,
Sim,1,1,34.0,13.0,Passageiro,,,,,,
Sim,2,0,15.0,8.0292,Passageiro,,,,,,
Sim,0,1,28.0,35.5,Passageiro,,,,,,
Não,2,0,8.0,21.075,Passageiro,,,,,,
Sim,2,0,38.0,31.3875,Passageiro,,,,,,
Não,2,1,28.0,7.225,Passageiro,,,,,,
Não,0,1,19.0,263.0,Passageiro,,,,,,
Sim,2,0,27.0,7.8792,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,0,1,40.0,27.7208,Passageiro,,,,,,
Sim,0,0,27.0,146.5208,Passageiro,,,,,,
Sim,2,0,27.0,7.75,Passageiro,,,,,,
Não,1,1,66.0,10.5,Passageiro,,,,,,
Não,0,1,28.0,82.1708,Passageiro,,,,,,
Não,0,1,42.0,52.0,Passageiro,,,,,,
Sim,2,1,28.0,7.2292,Passageiro,,,,,,
Não,2,1,21.0,8.05,Passageiro,,,,,,
Não,2,0,18.0,18.0,Passageiro,,,,,,
Sim,2,0,14.0,11.2417,Passageiro,,,,,,
Não,2,0,40.0,9.475,Passageiro,,,,,,
Não,1,0,27.0,21.0,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Sim,1,0,3.0,41.5792,Passageiro,,,,,,
Sim,2,0,19.0,7.8792,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Não,2,1,28.0,15.5,Passageiro,,,,,,
Sim,2,0,27.0,7.75,Passageiro,,,,,,
Não,2,1,28.0,21.6792,Passageiro,,,,,,
Não,2,0,18.0,17.8,Passageiro,,,,,,
Não,2,1,7.0,39.6875,Passageiro,,,,,,
Não,2,1,21.0,7.8,Passageiro,,,,,,
Sim,0,0,49.0,76.7292,Passageiro,,,,,,
Sim,1,0,29.0,26.0,Passageiro,,,,,,
Não,0,1,65.0,61.9792,Passageiro,,,,,,
Sim,0,1,28.0,35.5,Passageiro,,,,,,
Sim,1,0,21.0,10.5,Passageiro,,,,,,
Não,2,1,28.5,7.2292,Passageiro,,,,,,
Sim,1,0,5.0,27.75,Passageiro,,,,,,
Não,2,1,11.0,46.9,Passageiro,,,,,,
Não,2,1,22.0,7.2292,Passageiro,,,,,,
Sim,0,0,38.0,80.0,Passageiro,,,,,,
Não,0,1,45.0,83.475,Passageiro,,,,,,
Não,2,1,4.0,27.9,Passageiro,,,,,,
Não,0,1,28.0,27.7208,Passageiro,,,,,,
Sim,2,1,28.0,15.2458,Passageiro,,,,,,
Sim,1,0,29.0,10.5,Passageiro,,,,,,
Não,2,1,19.0,8.1583,Passageiro,,,,,,
Sim,2,0,17.0,7.925,Passageiro,,,,,,
Não,2,1,26.0,8.6625,Passageiro,,,,,,
Não,1,1,32.0,10.5,Passageiro,,,,,,
Não,2,0,16.0,46.9,Passageiro,,,,,,
Não,1,1,21.0,73.5,Passageiro,,,,,,
Não,2,1,26.0,14.4542,Passageiro,,,,,,
Sim,2,1,32.0,56.4958,Passageiro,,,,,,
Não,2,1,25.0,7.65,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Sim,1,1,0.83,29.0,Passageiro,,,,,,
Sim,2,0,30.0,12.475,Passageiro,,,,,,
Não,2,1,22.0,9.0,Passageiro,,,,,,
Sim,2,1,29.0,9.5,Passageiro,,,,,,
Sim,2,0,27.0,7.7875,Passageiro,,,,,,
Não,0,1,28.0,47.1,Passageiro,,,,,,
Sim,1,0,17.0,10.5,Passageiro,,,,,,
Sim,2,0,33.0,15.85,Passageiro,,,,,,
Não,2,1,16.0,34.375,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Sim,0,0,23.0,263.0,Passageiro,,,,,,
Não,2,1,24.0,8.05,Passageiro,,,,,,
Não,2,1,29.0,8.05,Passageiro,,,,,,
Não,2,1,20.0,7.8542,Passageiro,,,,,,
Não,0,1,46.0,61.175,Passageiro,,,,,,
Não,2,1,26.0,20.575,Passageiro,,,,,,
Não,2,1,59.0,7.25,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Não,0,1,71.0,34.6542,Passageiro,,,,,,
Sim,0,1,23.0,63.3583,Passageiro,,,,,,
Sim,1,0,34.0,23.0,Passageiro,,,,,,
Não,1,1,34.0,26.0,Passageiro,,,,,,
Não,2,0,28.0,7.8958,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,0,1,21.0,77.2875,Passageiro,,,,,,
Não,2,1,33.0,8.6542,Passageiro,,,,,,
Não,2,1,37.0,7.925,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Sim,2,0,21.0,7.65,Passageiro,,,,,,
Sim,2,1,28.0,7.775,Passageiro,,,,,,
Não,2,1,38.0,7.8958,Passageiro,,,,,,
Sim,2,0,27.0,24.15,Passageiro,,,,,,
Não,0,1,47.0,52.0,Passageiro,,,,,,
Não,2,0,14.5,14.4542,Passageiro,,,,,,
Não,2,1,22.0,8.05,Passageiro,,,,,,
Não,2,0,20.0,9.825,Passageiro,,,,,,
Não,2,0,17.0,14.4583,Passageiro,,,,,,
Não,2,1,21.0,7.925,Passageiro,,,,,,
Não,2,1,70.5,7.75,Passageiro,,,,,,
Não,1,1,29.0,21.0,Passageiro,,,,,,
Não,0,1,24.0,247.5208,Passageiro,,,,,,
Não,2,0,2.0,31.275,Passageiro,,,,,,
Não,1,1,21.0,73.5,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Não,1,1,32.5,30.0708,Passageiro,,,,,,
Sim,1,0,32.5,13.0,Passageiro,,,,,,
Não,0,1,54.0,77.2875,Passageiro,,,,,,
Sim,2,1,12.0,11.2417,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Sim,2,1,24.0,7.1417,Passageiro,,,,,,
Sim,2,0,27.0,22.3583,Passageiro,,,,,,
Não,2,1,45.0,6.975,Passageiro,,,,,,
Não,2,1,33.0,7.8958,Passageiro,,,,,,
Não,2,1,20.0,7.05,Passageiro,,,,,,
Não,2,0,47.0,14.5,Passageiro,,,,,,
Sim,1,0,29.0,26.0,Passageiro,,,,,,
Não,1,1,25.0,13.0,Passageiro,,,,,,
Não,1,1,23.0,15.0458,Passageiro,,,,,,
Sim,0,0,19.0,26.2833,Passageiro,,,,,,
Não,0,1,37.0,53.1,Passageiro,,,,,,
Não,2,1,16.0,9.2167,Passageiro,,,,,,
Não,0,1,24.0,79.2,Passageiro,,,,,,
Não,2,0,27.0,15.2458,Passageiro,,,,,,
Sim,2,0,22.0,7.75,Passageiro,,,,,,
Sim,2,0,24.0,15.85,Passageiro,,,,,,
Não,2,1,19.0,6.75,Passageiro,,,,,,
Não,1,1,18.0,11.5,Passageiro,,,,,,
Não,1,1,19.0,36.75,Passageiro,,,,,,
Sim,2,1,27.0,7.7958,Passageiro,,,,,,
Não,2,0,9.0,34.375,Passageiro,,,,,,
Não,1,1,36.5,26.0,Passageiro,,,,,,
Não,1,1,42.0,13.0,Passageiro,,,,,,
Não,1,1,51.0,12.525,Passageiro,,,,,,
Sim,0,0,22.0,66.6,Passageiro,,,,,,
Não,2,1,55.5,8.05,Passageiro,,,,,,
Não,2,1,40.5,14.5,Passageiro,,,,,,
Não,2,1,28.0,7.3125,Passageiro,,,,,,
Não,0,1,51.0,61.3792,Passageiro,,,,,,
Sim,2,0,16.0,7.7333,Passageiro,,,,,,
Não,2,1,30.0,8.05,Passageiro,,,,,,
Não,2,1,28.0,8.6625,Passageiro,,,,,,
Não,2,1,28.0,69.55,Passageiro,,,,,,
Não,2,1,44.0,16.1,Passageiro,,,,,,
Sim,1,0,40.0,15.75,Passageiro,,,,,,
Não,2,1,26.0,7.775,Passageiro,,,,,,
Não,2,1,17.0,8.6625,Passageiro,,,,,,
Não,2,1,1.0,39.6875,Passageiro,,,,,,
Sim,2,1,9.0,20.525,Passageiro,,,,,,
Sim,0,0,27.0,55.0,Passageiro,,,,,,
Não,2,0,45.0,27.9,Passageiro,,,,,,
Não,0,1,28.0,25.925,Passageiro,,,,,,
Não,2,1,28.0,56.4958,Passageiro,,,,,,
Não,0,1,61.0,33.5,Passageiro,,,,,,
Não,2,1,4.0,29.125,Passageiro,,,,,,
Sim,2,0,1.0,11.1333,Passageiro,,,,,,
Não,2,1,21.0,7.925,Passageiro,,,,,,
Não,0,1,56.0,30.6958,Passageiro,,,,,,
Não,2,1,18.0,7.8542,Passageiro,,,,,,
Não,2,1,28.0,25.4667,Passageiro,,,,,,
Não,0,0,50.0,28.7125,Passageiro,,,,,,
Não,1,1,30.0,13.0,Passageiro,,,,,,
Não,2,1,36.0,0.0,Passageiro,,,,,,
Não,2,0,27.0,69.55,Passageiro,,,,,,
Não,1,1,28.0,15.05,Passageiro,,,,,,
Não,2,1,9.0,31.3875,Passageiro,,,,,,
Sim,1,1,1.0,39.0,Passageiro,,,,,,
Sim,2,0,4.0,22.025,Passageiro,,,,,,
Não,0,1,28.0,50.0,Passageiro,,,,,,
Sim,2,0,27.0,15.5,Passageiro,,,,,,
Sim,0,1,45.0,26.55,Passageiro,,,,,,
Não,2,1,40.0,15.5,Passageiro,,,,,,
Não,2,1,36.0,7.8958,Passageiro,,,,,,
Sim,1,0,32.0,13.0,Passageiro,,,,,,
Não,1,1,19.0,13.0,Passageiro,,,,,,
Sim,2,0,19.0,7.8542,Passageiro,,,,,,
Sim,1,1,3.0,26.0,Passageiro,,,,,,
Sim,0,0,44.0,27.7208,Passageiro,,,,,,
Sim,0,0,58.0,146.5208,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Não,2,1,42.0,8.4042,Passageiro,,,,,,
Sim,2,0,27.0,7.75,Passageiro,,,,,,
Não,1,0,24.0,13.0,Passageiro,,,,,,
Não,2,1,28.0,9.5,Passageiro,,,,,,
Não,2,1,28.0,69.55,Passageiro,,,,,,
Não,2,1,34.0,6.4958,Passageiro,,,,,,
Não,2,1,45.5,7.225,Passageiro,,,,,,
Sim,2,1,18.0,8.05,Passageiro,,,,,,
Não,2,0,2.0,10.4625,Passageiro,,,,,,
Não,2,1,32.0,15.85,Passageiro,,,,,,
Sim,2,1,26.0,18.7875,Passageiro,,,,,,
Sim,2,0,16.0,7.75,Passageiro,,,,,,
Sim,0,1,40.0,31.0,Passageiro,,,,,,
Não,2,1,24.0,7.05,Passageiro,,,,,,
Sim,1,0,35.0,21.0,Passageiro,,,,,,
Não,2,1,22.0,7.25,Passageiro,,,,,,
Não,1,1,30.0,13.0,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Sim,0,0,31.0,113.275,Passageiro,,,,,,
Sim,2,0,27.0,7.925,Passageiro,,,,,,
Não,1,1,42.0,27.0,Passageiro,,,,,,
Sim,0,0,32.0,76.2917,Passageiro,,,,,,
Não,1,1,30.0,10.5,Passageiro,,,,,,
Sim,2,1,16.0,8.05,Passageiro,,,,,,
Não,1,1,27.0,13.0,Passageiro,,,,,,
Não,2,1,51.0,8.05,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Sim,0,1,38.0,90.0,Passageiro,,,,,,
Não,2,1,22.0,9.35,Passageiro,,,,,,
Sim,1,1,19.0,10.5,Passageiro,,,,,,
Não,2,1,20.5,7.25,Passageiro,,,,,,
Não,1,1,18.0,13.0,Passageiro,,,,,,
Não,2,0,27.0,25.4667,Passageiro,,,,,,
Sim,0,0,35.0,83.475,Passageiro,,,,,,
Não,2,1,29.0,7.775,Passageiro,,,,,,
Não,1,1,59.0,13.5,Passageiro,,,,,,
Sim,2,0,5.0,31.3875,Passageiro,,,,,,
Não,1,1,24.0,10.5,Passageiro,,,,,,
Não,2,0,27.0,7.55,Passageiro,,,,,,
Não,1,1,44.0,26.0,Passageiro,,,,,,
Sim,1,0,8.0,26.25,Passageiro,,,,,,
Não,1,1,19.0,10.5,Passageiro,,,,,,
Não,1,1,33.0,12.275,Passageiro,,,,,,
Não,2,0,27.0,14.4542,Passageiro,,,,,,
Sim,2,0,27.0,15.5,Passageiro,,,,,,
Não,1,1,29.0,10.5,Passageiro,,,,,,
Não,2,1,22.0,7.125,Passageiro,,,,,,
Não,2,1,30.0,7.225,Passageiro,,,,,,
Não,0,1,44.0,90.0,Passageiro,,,,,,
Não,2,0,25.0,7.775,Passageiro,,,,,,
Sim,1,0,24.0,14.5,Passageiro,,,,,,
Sim,0,1,37.0,52.5542,Passageiro,,,,,,
Não,1,1,54.0,26.0,Passageiro,,,,,,
Não,2,1,28.0,7.25,Passageiro,,,,,,
Não,2,0,29.0,10.4625,Passageiro,,,,,,
Não,0,1,62.0,26.55,Passageiro,,,,,,
Não,2,1,30.0,16.1,Passageiro,,,,,,
Não,2,0,41.0,20.2125,Passageiro,,,,,,
Sim,2,0,29.0,15.2458,Passageiro,,,,,,
Sim,0,0,27.0,79.2,Passageiro,,,,,,
Sim,0,0,30.0,86.5,Passageiro,,,,,,
Sim,0,0,35.0,512.3292,Passageiro,,,,,,
Sim,1,0,50.0,26.0,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Sim,2,1,3.0,31.3875,Passageiro,,,,,,
Não,0,1,52.0,79.65,Passageiro,,,,,,
Não,0,1,40.0,0.0,Passageiro,,,,,,
Não,2,0,27.0,7.75,Passageiro,,,,,,
Não,1,1,36.0,10.5,Passageiro,,,,,,
Não,2,1,16.0,39.6875,Passageiro,,,,,,
Sim,2,1,25.0,7.775,Passageiro,,,,,,
Sim,0,0,58.0,153.4625,Passageiro,,,,,,
Sim,0,0,35.0,135.6333,Passageiro,,,,,,
Não,0,1,28.0,31.0,Passageiro,,,,,,
Sim,2,1,25.0,0.0,Passageiro,,,,,,
Sim,1,0,41.0,19.5,Passageiro,,,,,,
Não,0,1,37.0,29.7,Passageiro,,,,,,
Sim,2,0,27.0,7.75,Passageiro,,,,,,
Sim,0,0,63.0,77.9583,Passageiro,,,,,,
Não,2,0,45.0,7.75,Passageiro,,,,,,
Não,1,1,28.0,0.0,Passageiro,,,,,,
Não,2,1,7.0,29.125,Passageiro,,,,,,
Sim,2,0,35.0,20.25,Passageiro,,,,,,
Não,2,1,65.0,7.75,Passageiro,,,,,,
Não,2,1,28.0,7.8542,Passageiro,,,,,,
Não,2,1,16.0,9.5,Passageiro,,,,,,
Sim,2,1,19.0,8.05,Passageiro,,,,,,
Não,0,1,28.0,26.0,Passageiro,,,,,,
Não,2,1,33.0,8.6625,Passageiro,,,,,,
Sim,2,1,30.0,9.5,Passageiro,,,,,,
Não,2,1,22.0,7.8958,Passageiro,,,,,,
Sim,1,1,42.0,13.0,Passageiro,,,,,,
Sim,2,0,22.0,7.75,Passageiro,,,,,,
Sim,0,0,26.0,78.85,Passageiro,,,,,,
Sim,0,0,19.0,91.0792,Passageiro,,,,,,
Não,1,1,36.0,12.875,Passageiro,,,,,,
Não,2,0,24.0,8.85,Passageiro,,,,,,
Não,2,1,24.0,7.8958,Passageiro,,,,,,
Não,0,1,28.0,27.7208,Passageiro,,,,,,
Não,2,1,23.5,7.2292,Passageiro,,,,,,
Não,0,0,2.0,151.55,Passageiro,,,,,,
Sim,0,1,28.0,30.5,Passageiro,,,,,,
Sim,0,0,50.0,247.5208,Passageiro,,,,,,
Sim,2,0,27.0,7.75,Passageiro,,,,,,
Sim,2,1,28.0,23.25,Passageiro,,,,,,
Não,2,1,19.0,0.0,Passageiro,,,,,,
Sim,1,0,27.0,12.35,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Sim,0,1,0.92,151.55,Passageiro,,,,,,
Sim,0,0,27.0,110.8833,Passageiro,,,,,,
Sim,0,0,17.0,108.9,Passageiro,,,,,,
Não,1,1,30.0,24.0,Passageiro,,,,,,
Sim,0,0,30.0,56.9292,Passageiro,,,,,,
Sim,0,0,24.0,83.1583,Passageiro,,,,,,
Sim,0,0,18.0,262.375,Passageiro,,,,,,
Não,1,0,26.0,26.0,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,1,1,43.0,26.25,Passageiro,,,,,,
Sim,2,0,26.0,7.8542,Passageiro,,,,,,
Sim,1,0,24.0,26.0,Passageiro,,,,,,
Não,1,1,54.0,14.0,Passageiro,,,,,,
Sim,0,0,31.0,164.8667,Passageiro,,,,,,
Sim,0,0,40.0,134.5,Passageiro,,,,,,
Não,2,1,22.0,7.25,Passageiro,,,,,,
Não,2,1,27.0,7.8958,Passageiro,,,,,,
Sim,1,0,30.0,12.35,Passageiro,,,,,,
Sim,1,0,22.0,29.0,Passageiro,,,,,,
Não,2,1,28.0,69.55,Passageiro,,,,,,
Sim,0,0,36.0,135.6333,Passageiro,,,,,,
Não,2,1,61.0,6.2375,Passageiro,,,,,,
Sim,1,0,36.0,13.0,Passageiro,,,,,,
Sim,2,0,31.0,20.525,Passageiro,,,,,,
Sim,0,0,16.0,57.9792,Passageiro,,,,,,
Sim,2,0,27.0,23.25,Passageiro,,,,,,
Não,0,1,45.5,28.5,Passageiro,,,,,,
Não,0,1,38.0,153.4625,Passageiro,,,,,,
Não,2,1,16.0,18.0,Passageiro,,,,,,
Sim,0,0,27.0,133.65,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,0,1,29.0,66.6,Passageiro,,,,,,
Sim,0,0,41.0,134.5,Passageiro,,,,,,
Sim,2,1,45.0,8.05,Passageiro,,,,,,
Não,0,1,45.0,35.5,Passageiro,,,,,,
Sim,1,1,2.0,26.0,Passageiro,,,,,,
Sim,0,0,24.0,263.0,Passageiro,,,,,,
Não,1,1,28.0,13.0,Passageiro,,,,,,
Não,1,1,25.0,13.0,Passageiro,,,,,,
Não,1,1,36.0,13.0,Passageiro,,,,,,
Sim,1,0,24.0,13.0,Passageiro,,,,,,
Sim,1,0,40.0,13.0,Passageiro,,,,,,
Sim,2,0,27.0,16.1,Passageiro,,,,,,
Sim,2,1,3.0,15.9,Passageiro,,,,,,
Não,2,1,42.0,8.6625,Passageiro,,,,,,
Não,2,1,23.0,9.225,Passageiro,,,,,,
Não,0,1,28.0,35.0,Passageiro,,,,,,
Não,2,1,15.0,7.2292,Passageiro,,,,,,
Não,2,1,25.0,17.8,Passageiro,,,,,,
Não,2,1,28.0,7.225,Passageiro,,,,,,
Não,2,1,28.0,9.5,Passageiro,,,,,,
Sim,0,0,22.0,55.0,Passageiro,,,,,,
Não,1,0,38.0,13.0,Passageiro,,,,,,
Sim,2,0,27.0,7.8792,Passageiro,,,,,,
Sim,2,0,27.0,7.8792,Passageiro,,,,,,
Não,2,1,40.0,27.9,Passageiro,,,,,,
Não,1,1,29.0,27.7208,Passageiro,,,,,,
Não,2,0,45.0,14.4542,Passageiro,,,,,,
Não,2,1,35.0,7.05,Passageiro,,,,,,
Não,2,1,28.0,15.5,Passageiro,,,,,,
Não,2,1,30.0,7.25,Passageiro,,,,,,
Sim,0,0,60.0,75.25,Passageiro,,,,,,
Sim,2,0,27.0,7.2292,Passageiro,,,,,,
Sim,2,0,27.0,7.75,Passageiro,,,,,,
Sim,0,0,24.0,69.3,Passageiro,,,,,,
Sim,0,1,25.0,55.4417,Passageiro,,,,,,
Não,2,1,18.0,6.4958,Passageiro,,,,,,
Não,2,1,19.0,8.05,Passageiro,,,,,,
Não,0,1,22.0,135.6333,Passageiro,,,,,,
Não,2,0,3.0,21.075,Passageiro,,,,,,
Sim,0,0,27.0,82.1708,Passageiro,,,,,,
Sim,2,0,22.0,7.25,Passageiro,,,,,,
Não,0,1,27.0,211.5,Passageiro,,,,,,
Não,2,1,20.0,4.0125,Passageiro,,,,,,
Não,2,1,19.0,7.775,Passageiro,,,,,,
Sim,0,0,42.0,227.525,Passageiro,,,,,,
Sim,2,0,1.0,15.7417,Passageiro,,,,,,
Não,2,1,32.0,7.925,Passageiro,,,,,,
Sim,0,0,35.0,52.0,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,1,1,18.0,73.5,Passageiro,,,,,,
Não,2,1,1.0,46.9,Passageiro,,,,,,
Sim,1,0,36.0,13.0,Passageiro,,,,,,
Não,2,1,28.0,7.7292,Passageiro,,,,,,
Sim,1,0,17.0,12.0,Passageiro,,,,,,
Sim,0,1,36.0,120.0,Passageiro,,,,,,
Sim,2,1,21.0,7.7958,Passageiro,,,,,,
Não,2,1,28.0,7.925,Passageiro,,,,,,
Sim,0,0,23.0,113.275,Passageiro,,,,,,
Sim,2,0,24.0,16.7,Passageiro,,,,,,
Não,2,1,22.0,7.7958,Passageiro,,,,,,
Não,2,0,31.0,7.8542,Passageiro,,,,,,
Não,1,1,46.0,26.0,Passageiro,,,,,,
Não,1,1,23.0,10.5,Passageiro,,,,,,
Sim,1,0,28.0,12.65,Passageiro,,,,,,
Sim,2,1,39.0,7.925,Passageiro,,,,,,
Não,2,1,26.0,8.05,Passageiro,,,,,,
Não,2,0,21.0,9.825,Passageiro,,,,,,
Não,2,1,28.0,15.85,Passageiro,,,,,,
Não,2,0,20.0,8.6625,Passageiro,,,,,,
Não,1,1,34.0,21.0,Passageiro,,,,,,
Não,2,1,51.0,7.75,Passageiro,,,,,,
Sim,1,1,3.0,18.75,Passageiro,,,,,,
Não,2,1,21.0,7.775,Passageiro,,,,,,
Não,2,0,27.0,25.4667,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,2,1,28.0,6.8583,Passageiro,,,,,,
Sim,0,0,33.0,90.0,Passageiro,,,,,,
Não,1,1,28.0,0.0,Passageiro,,,,,,
Sim,2,1,44.0,7.925,Passageiro,,,,,,
Não,2,0,27.0,8.05,Passageiro,,,,,,
Sim,1,0,34.0,32.5,Passageiro,,,,,,
Sim,1,0,18.0,13.0,Passageiro,,,,,,
