Survived,Pclass,Sex,Age,Fare,Tipo,Cluster,Metrica,Valor,Decision_Tree,Random_Forest,Visualizacao
Não,1,1,30.0,13.0,Passageiro,,,,,,
Não,2,0,10.0,24.15,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,2,1,21.0,7.7333,Passageiro,,,,,,
Não,2,1,29.0,7.875,Passageiro,,,,,,
Não,2,0,28.0,14.4,Passageiro,,,,,,
Não,2,1,18.0,20.2125,Passageiro,,,,,,
Não,2,1,28.0,7.25,Passageiro,,,,,,
Sim,1,0,28.0,26.0,Passageiro,,,,,,
Sim,1,0,19.0,26.0,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Sim,2,1,32.0,8.05,Passageiro,,,,,,
Sim,0,1,28.0,26.55,Passageiro,,,,,,
Sim,2,0,27.0,16.1,Passageiro,,,,,,
Sim,1,0,42.0,26.0,Passageiro,,,,,,
Não,2,1,17.0,7.125,Passageiro,,,,,,
Não,0,1,50.0,55.9,Passageiro,,,,,,
Sim,0,0,14.0,120.0,Passageiro,,,,,,
Não,2,0,21.0,34.375,Passageiro,,,,,,
Sim,1,0,24.0,18.75,Passageiro,,,,,,
Não,0,1,64.0,263.0,Passageiro,,,,,,
Não,1,1,31.0,10.5,Passageiro,,,,,,
Sim,1,0,45.0,26.25,Passageiro,,,,,,
Não,2,1,20.0,9.5,Passageiro,,,,,,
Não,2,1,25.0,7.775,Passageiro,,,,,,
Sim,1,0,28.0,13.0,Passageiro,,,,,,
Sim,2,1,28.0,8.1125,Passageiro,,,,,,
Sim,0,1,4.0,81.8583,Passageiro,,,,,,
Sim,1,0,13.0,19.5,Passageiro,,,,,,
Sim,0,1,34.0,26.55,Passageiro,,,,,,
Sim,2,0,5.0,19.2583,Passageiro,,,,,,
Sim,0,1,52.0,30.5,Passageiro,,,,,,
Não,1,1,36.0,27.75,Passageiro,,,,,,
Não,2,1,28.0,19.9667,Passageiro,,,,,,
Não,0,1,30.0,27.75,Passageiro,,,,,,
Sim,0,1,49.0,89.1042,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Sim,2,1,29.0,7.8958,Passageiro,,,,,,
Não,0,1,65.0,26.55,Passageiro,,,,,,
Sim,0,0,27.0,51.8625,Passageiro,,,,,,
Sim,1,0,50.0,10.5,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Sim,0,1,48.0,26.55,Passageiro,,,,,,
Não,2,1,34.0,8.05,Passageiro,,,,,,
Não,0,1,47.0,38.5,Passageiro,,,,,,
Não,1,1,48.0,13.0,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Não,2,1,38.0,7.05,Passageiro,,,,,,
Não,1,1,28.0,0.0,Passageiro,,,,,,
Não,0,1,56.0,26.55,Passageiro,,,,,,
Não,2,1,28.0,7.725,Passageiro,,,,,,
Sim,2,0,0.75,19.2583,Passageiro,,,,,,
Não,2,1,28.0,7.25,Passageiro,,,,,,
Não,2,1,38.0,8.6625,Passageiro,,,,,,
Sim,1,0,33.0,27.75,Passageiro,,,,,,
Sim,1,0,23.0,13.7917,Passageiro,,,,,,
Não,2,0,22.0,9.8375,Passageiro,,,,,,
Não,0,1,28.0,52.0,Passageiro,,,,,,
Não,1,1,34.0,21.0,Passageiro,,,,,,
Não,2,1,29.0,7.0458,Passageiro,,,,,,
Não,2,1,22.0,7.5208,Passageiro,,,,,,
Sim,2,0,2.0,12.2875,Passageiro,,,,,,
Não,2,1,9.0,46.9,Passageiro,,,,,,
Não,1,1,28.0,0.0,Passageiro,,,,,,
Não,2,1,50.0,8.05,Passageiro,,,,,,
Sim,2,0,63.0,9.5875,Passageiro,,,,,,
Sim,0,1,25.0,91.0792,Passageiro,,,,,,
Não,2,0,27.0,25.4667,Passageiro,,,,,,
Sim,0,0,35.0,90.0,Passageiro,,,,,,
Não,0,1,58.0,29.7,Passageiro,,,,,,
Não,2,1,30.0,8.05,Passageiro,,,,,,
Sim,2,1,9.0,15.9,Passageiro,,,,,,
Não,2,1,28.0,19.9667,Passageiro,,,,,,
Não,2,1,21.0,7.25,Passageiro,,,,,,
Não,0,1,55.0,30.5,Passageiro,,,,,,
Não,0,1,71.0,49.5042,Passageiro,,,,,,
Não,2,1,21.0,8.05,Passageiro,,,,,,
Não,2,1,28.0,14.4583,Passageiro,,,,,,
Sim,0,0,54.0,78.2667,Passageiro,,,,,,
Não,2,1,28.0,15.1,Passageiro,,,,,,
Não,0,0,25.0,151.55,Passageiro,,,,,,
Não,2,1,24.0,7.7958,Passageiro,,,,,,
Não,2,1,17.0,8.6625,Passageiro,,,,,,
Não,2,0,21.0,7.75,Passageiro,,,,,,
Não,2,0,27.0,7.6292,Passageiro,,,,,,
Não,2,0,37.0,9.5875,Passageiro,,,,,,
Sim,0,0,16.0,86.5,Passageiro,,,,,,
Não,0,1,18.0,108.9,Passageiro,,,,,,
Sim,1,0,33.0,26.0,Passageiro,,,,,,
Sim,0,1,28.0,26.55,Passageiro,,,,,,
Não,2,1,28.0,22.525,Passageiro,,,,,,
Sim,2,1,26.0,56.4958,Passageiro,,,,,,
Sim,2,1,29.0,7.75,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Sim,0,1,36.0,26.2875,Passageiro,,,,,,
Sim,0,0,54.0,59.4,Passageiro,,,,,,
Não,2,1,24.0,7.4958,Passageiro,,,,,,
Não,0,1,47.0,34.0208,Passageiro,,,,,,
Sim,1,0,34.0,10.5,Passageiro,,,,,,
Não,2,1,28.0,24.15,Passageiro,,,,,,
Sim,1,0,36.0,26.0,Passageiro,,,,,,
Não,2,1,32.0,7.8958,Passageiro,,,,,,
Sim,0,0,30.0,93.5,Passageiro,,,,,,
Não,2,1,22.0,7.8958,Passageiro,,,,,,
Não,2,1,28.0,7.225,Passageiro,,,,,,
Sim,0,0,44.0,57.9792,Passageiro,,,,,,
Não,2,1,28.0,7.2292,Passageiro,,,,,,
Não,2,1,40.5,7.75,Passageiro,,,,,,
Sim,1,0,50.0,10.5,Passageiro,,,,,,
Não,0,1,28.0,221.7792,Passageiro,,,,,,
Não,2,1,39.0,7.925,Passageiro,,,,,,
Não,1,1,23.0,11.5,Passageiro,,,,,,
Sim,1,0,2.0,26.0,Passageiro,,,,,,
Não,2,1,28.0,7.2292,Passageiro,,,,,,
Não,2,1,17.0,7.2292,Passageiro,,,,,,
Sim,2,0,27.0,22.3583,Passageiro,,,,,,
Não,2,0,30.0,8.6625,Passageiro,,,,,,
Sim,1,0,7.0,26.25,Passageiro,,,,,,
Não,0,1,45.0,26.55,Passageiro,,,,,,
Sim,0,0,30.0,106.425,Passageiro,,,,,,
Não,2,1,28.0,14.5,Passageiro,,,,,,
Sim,0,0,22.0,49.5,Passageiro,,,,,,
Sim,0,0,36.0,71.0,Passageiro,,,,,,
Não,2,0,9.0,31.275,Passageiro,,,,,,
Não,2,0,11.0,31.275,Passageiro,,,,,,
Sim,1,1,32.0,26.0,Passageiro,,,,,,
Não,0,1,50.0,106.425,Passageiro,,,,,,
Não,0,1,64.0,26.0,Passageiro,,,,,,
Sim,1,0,19.0,26.0,Passageiro,,,,,,
Sim,1,1,28.0,13.8625,Passageiro,,,,,,
Não,2,1,33.0,20.525,Passageiro,,,,,,
Sim,1,1,8.0,36.75,Passageiro,,,,,,
Sim,0,1,17.0,110.8833,Passageiro,,,,,,
Não,1,1,27.0,26.0,Passageiro,,,,,,
Não,2,1,28.0,7.8292,Passageiro,,,,,,
Sim,2,1,22.0,7.225,Passageiro,,,,,,
Sim,2,0,22.0,7.775,Passageiro,,,,,,
Não,0,1,62.0,26.55,Passageiro,,,,,,
Sim,0,0,48.0,39.6,Passageiro,,,,,,
Não,0,1,28.0,227.525,Passageiro,,,,,,
Sim,0,0,39.0,79.65,Passageiro,,,,,,
Sim,2,0,36.0,17.4,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Não,2,1,40.0,7.8958,Passageiro,,,,,,
Não,1,1,28.0,13.5,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Não,2,0,27.0,8.05,Passageiro,,,,,,
Não,2,1,24.0,24.15,Passageiro,,,,,,
Não,2,1,19.0,7.8958,Passageiro,,,,,,
Não,2,0,29.0,21.075,Passageiro,,,,,,
Não,2,1,28.0,7.2292,Passageiro,,,,,,
Sim,2,1,32.0,7.8542,Passageiro,,,,,,
Sim,1,1,62.0,10.5,Passageiro,,,,,,
Sim,0,0,53.0,51.4792,Passageiro,,,,,,
Sim,0,1,36.0,26.3875,Passageiro,,,,,,
Sim,2,0,27.0,7.75,Passageiro,,,,,,
Não,2,1,16.0,8.05,Passageiro,,,,,,
Não,2,1,19.0,14.5,Passageiro,,,,,,
Sim,1,0,34.0,13.0,Passageiro,,,,,,
Sim,0,0,39.0,55.9,Passageiro,,,,,,
Não,2,0,27.0,14.4583,Passageiro,,,,,,
Sim,2,1,32.0,7.925,Passageiro,,,,,,
Sim,1,0,25.0,30.0,Passageiro,,,,,,
Sim,0,0,39.0,110.8833,Passageiro,,,,,,
Não,1,1,54.0,26.0,Passageiro,,,,,,
Não,0,1,36.0,40.125,Passageiro,,,,,,
Não,2,1,28.0,8.7125,Passageiro,,,,,,
Sim,0,0,18.0,79.65,Passageiro,,,,,,
Não,1,1,47.0,15.0,Passageiro,,,,,,
Sim,0,1,60.0,79.2,Passageiro,,,,,,
Não,2,1,22.0,8.05,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Não,2,1,35.0,7.125,Passageiro,,,,,,
Sim,0,0,52.0,78.2667,Passageiro,,,,,,
Não,2,1,47.0,7.25,Passageiro,,,,,,
Não,2,0,27.0,7.75,Passageiro,,,,,,
Não,1,1,37.0,26.0,Passageiro,,,,,,
Não,2,1,36.0,24.15,Passageiro,,,,,,
Sim,1,0,27.0,33.0,Passageiro,,,,,,
Não,2,1,49.0,0.0,Passageiro,,,,,,
Não,2,1,28.0,7.225,Passageiro,,,,,,
Sim,0,1,49.0,56.9292,Passageiro,,,,,,
Sim,1,0,24.0,27.0,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,0,1,28.0,42.4,Passageiro,,,,,,
Não,2,1,44.0,8.05,Passageiro,,,,,,
Sim,0,1,35.0,26.55,Passageiro,,,,,,
Não,2,1,36.0,15.55,Passageiro,,,,,,
Não,2,1,30.0,7.8958,Passageiro,,,,,,
Sim,0,1,27.0,30.5,Passageiro,,,,,,
Sim,1,0,22.0,41.5792,Passageiro,,,,,,
Sim,0,0,40.0,153.4625,Passageiro,,,,,,
Não,2,0,39.0,31.275,Passageiro,,,,,,
Não,2,1,28.0,7.05,Passageiro,,,,,,
Sim,2,0,27.0,15.5,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Não,2,1,35.0,8.05,Passageiro,,,,,,
Sim,1,0,24.0,65.0,Passageiro,,,,,,
Não,2,1,34.0,14.4,Passageiro,,,,,,
Não,2,0,26.0,16.1,Passageiro,,,,,,
Sim,1,0,4.0,39.0,Passageiro,,,,,,
Não,1,1,26.0,10.5,Passageiro,,,,,,
Não,2,1,27.0,14.4542,Passageiro,,,,,,
Sim,0,1,42.0,52.5542,Passageiro,,,,,,
Sim,2,1,20.0,15.7417,Passageiro,,,,,,
Não,2,1,21.0,7.8542,Passageiro,,,,,,
Não,2,1,21.0,16.1,Passageiro,,,,,,
Não,0,1,61.0,32.3208,Passageiro,,,,,,
Não,1,1,57.0,12.35,Passageiro,,,,,,
Sim,0,0,21.0,77.9583,Passageiro,,,,,,
Não,2,1,26.0,7.8958,Passageiro,,,,,,
Não,2,1,28.0,7.7333,Passageiro,,,,,,
Sim,0,1,80.0,30.0,Passageiro,,,,,,
Não,2,1,51.0,7.0542,Passageiro,,,,,,
Sim,0,1,32.0,30.5,Passageiro,,,,,,
Não,0,1,28.0,0.0,Passageiro,,,,,,
Não,2,0,9.0,27.9,Passageiro,,,,,,
Sim,1,0,28.0,13.0,Passageiro,,,,,,
Não,2,1,32.0,7.925,Passageiro,,,,,,
Não,1,1,31.0,26.25,Passageiro,,,,,,
Não,2,0,41.0,39.6875,Passageiro,,,,,,
Não,2,1,28.0,16.1,Passageiro,,,,,,
Não,2,1,20.0,7.8542,Passageiro,,,,,,
Sim,0,0,24.0,69.3,Passageiro,,,,,,
Não,2,0,2.0,27.9,Passageiro,,,,,,
Sim,2,1,28.0,56.4958,Passageiro,,,,,,
Sim,2,0,0.75,19.2583,Passageiro,,,,,,
Sim,0,1,48.0,76.7292,Passageiro,,,,,,
Não,2,1,19.0,7.8958,Passageiro,,,,,,
Sim,0,1,56.0,35.5,Passageiro,,,,,,
Não,2,1,28.0,7.55,Passageiro,,,,,,
Sim,2,0,23.0,7.55,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Sim,1,0,18.0,23.0,Passageiro,,,,,,
Não,2,1,21.0,8.4333,Passageiro,,,,,,
Sim,2,0,27.0,7.8292,Passageiro,,,,,,
Não,2,0,18.0,6.75,Passageiro,,,,,,
Não,1,1,24.0,73.5,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,2,0,32.0,15.5,Passageiro,,,,,,
Não,1,1,23.0,13.0,Passageiro,,,,,,
Não,0,1,58.0,113.275,Passageiro,,,,,,
Sim,0,1,50.0,133.65,Passageiro,,,,,,
Não,2,1,40.0,7.225,Passageiro,,,,,,
Não,0,1,47.0,25.5875,Passageiro,,,,,,
Não,2,1,36.0,7.4958,Passageiro,,,,,,
Sim,2,1,20.0,7.925,Passageiro,,,,,,
Não,1,1,32.0,73.5,Passageiro,,,,,,
Não,1,1,25.0,13.0,Passageiro,,,,,,
Não,2,1,28.0,7.775,Passageiro,,,,,,
Não,2,1,43.0,8.05,Passageiro,,,,,,
Sim,0,0,27.0,52.0,Passageiro,,,,,,
Sim,1,0,40.0,39.0,Passageiro,,,,,,
Não,0,1,31.0,52.0,Passageiro,,,,,,
Não,1,1,70.0,10.5,Passageiro,,,,,,
Sim,1,1,31.0,13.0,Passageiro,,,,,,
Não,1,1,28.0,0.0,Passageiro,,,,,,
Não,2,1,18.0,7.775,Passageiro,,,,,,
Não,2,1,24.5,8.05,Passageiro,,,,,,
Sim,2,0,18.0,9.8417,Passageiro,,,,,,
Não,2,0,43.0,46.9,Passageiro,,,,,,
Sim,0,1,36.0,512.3292,Passageiro,,,,,,
Não,2,0,27.0,8.1375,Passageiro,,,,,,
Sim,0,1,27.0,76.7292,Passageiro,,,,,,
Não,2,1,20.0,9.225,Passageiro,,,,,,
Não,2,1,14.0,46.9,Passageiro,,,,,,
Não,1,1,60.0,39.0,Passageiro,,,,,,
Não,1,1,25.0,41.5792,Passageiro,,,,,,
Não,2,1,14.0,39.6875,Passageiro,,,,,,
Não,2,1,19.0,10.1708,Passageiro,,,,,,
Não,2,1,18.0,7.7958,Passageiro,,,,,,
Sim,0,0,15.0,211.3375,Passageiro,,,,,,
Sim,0,1,31.0,57.0,Passageiro,,,,,,
Sim,2,0,4.0,13.4167,Passageiro,,,,,,
Sim,2,1,28.0,56.4958,Passageiro,,,,,,
Não,2,1,25.0,7.225,Passageiro,,,,,,
Não,0,1,60.0,26.55,Passageiro,,,,,,
Não,1,1,52.0,13.5,Passageiro,,,,,,
Não,2,1,44.0,8.05,Passageiro,,,,,,
Sim,2,0,27.0,7.7333,Passageiro,,,,,,
Não,0,1,49.0,110.8833,Passageiro,,,,,,
Não,2,1,42.0,7.65,Passageiro,,,,,,
Sim,0,0,18.0,227.525,Passageiro,,,,,,
Sim,0,1,35.0,26.2875,Passageiro,,,,,,
Não,2,0,18.0,14.4542,Passageiro,,,,,,
Não,2,1,25.0,7.7417,Passageiro,,,,,,
Não,2,1,26.0,7.8542,Passageiro,,,,,,
Não,1,1,39.0,26.0,Passageiro,,,,,,
Sim,1,0,45.0,13.5,Passageiro,,,,,,
Sim,0,1,42.0,26.2875,Passageiro,,,,,,
Sim,0,0,22.0,151.55,Passageiro,,,,,,
Sim,2,1,28.0,15.2458,Passageiro,,,,,,
Sim,0,0,24.0,49.5042,Passageiro,,,,,,
Não,0,1,28.0,26.55,Passageiro,,,,,,
Sim,0,1,48.0,52.0,Passageiro,,,,,,
Não,2,1,29.0,9.4833,Passageiro,,,,,,
Não,1,1,52.0,13.0,Passageiro,,,,,,
Não,2,1,19.0,7.65,Passageiro,,,,,,
Sim,0,0,38.0,227.525,Passageiro,,,,,,
Sim,1,0,27.0,10.5,Passageiro,,,,,,
Não,2,1,28.0,15.5,Passageiro,,,,,,
Não,2,1,33.0,7.775,Passageiro,,,,,,
Sim,1,0,6.0,33.0,Passageiro,,,,,,
Não,2,1,17.0,7.0542,Passageiro,,,,,,
Não,1,1,34.0,13.0,Passageiro,,,,,,
Não,1,1,50.0,13.0,Passageiro,,,,,,
Sim,0,1,27.0,53.1,Passageiro,,,,,,
Não,2,1,20.0,8.6625,Passageiro,,,,,,
Sim,1,0,30.0,21.0,Passageiro,,,,,,
Sim,2,0,27.0,7.7375,Passageiro,,,,,,
Não,1,1,25.0,26.0,Passageiro,,,,,,
Não,2,0,25.0,7.925,Passageiro,,,,,,
Sim,0,0,29.0,211.3375,Passageiro,,,,,,
Não,2,1,11.0,18.7875,Passageiro,,,,,,
Não,1,1,28.0,0.0,Passageiro,,,,,,
Não,1,1,23.0,13.0,Passageiro,,,,,,
Não,1,1,23.0,13.0,Passageiro,,,,,,
Não,2,1,28.5,16.1,Passageiro,,,,,,
Não,2,0,48.0,34.375,Passageiro,,,,,,
Sim,0,1,35.0,512.3292,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Não,2,1,28.0,7.8958,Passageiro,,,,,,
Sim,0,1,28.0,30.0,Passageiro,,,,,,
Não,0,1,36.0,78.85,Passageiro,,,,,,
Sim,0,0,21.0,262.375,Passageiro,,,,,,
Não,2,1,24.0,16.1,Passageiro,,,,,,
Sim,2,1,31.0,7.925,Passageiro,,,,,,
Não,0,1,70.0,71.0,Passageiro,,,,,,
Não,2,1,16.0,20.25,Passageiro,,,,,,
Sim,1,0,30.0,13.0,Passageiro,,,,,,
Não,0,1,19.0,53.1,Passageiro,,,,,,
Não,2,1,31.0,7.75,Passageiro,,,,,,
Sim,1,0,4.0,23.0,Passageiro,,,,,,
Sim,2,1,6.0,12.475,Passageiro,,,,,,
Não,2,1,33.0,9.5,Passageiro,,,,,,
Não,2,1,23.0,7.8958,Passageiro,,,,,,
Sim,1,0,48.0,65.0,Passageiro,,,,,,
Sim,1,1,0.67,14.5,Passageiro,,,,,,
Não,2,1,28.0,7.7958,Passageiro,,,,,,
Não,1,1,18.0,11.5,Passageiro,,,,,,
Não,2,1,34.0,8.05,Passageiro,,,,,,
Sim,0,0,33.0,86.5,Passageiro,,,,,,
Não,2,1,28.0,14.5,Passageiro,,,,,,
Não,2,1,41.0,7.125,Passageiro,,,,,,
Sim,2,1,20.0,7.2292,Passageiro,,,,,,
Sim,0,0,36.0,120.0,Passageiro,,,,,,
Não,2,1,16.0,7.775,Passageiro,,,,,,
Sim,0,0,51.0,77.9583,Passageiro,,,,,,
Não,0,1,28.0,39.6,Passageiro,,,,,,
Não,2,0,30.5,7.75,Passageiro,,,,,,
Não,2,1,28.0,24.15,Passageiro,,,,,,
Não,2,1,32.0,8.3625,Passageiro,,,,,,
Não,2,1,24.0,9.5,Passageiro,,,,,,
Não,2,1,48.0,7.8542,Passageiro,,,,,,
Não,1,0,57.0,10.5,Passageiro,,,,,,
Não,2,1,28.0,7.225,Passageiro,,,,,,
Sim,1,0,54.0,23.0,Passageiro,,,,,,
Não,2,1,18.0,7.75,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Sim,2,0,5.0,12.475,Passageiro,,,,,,
Não,2,1,28.0,7.7375,Passageiro,,,,,,
Sim,0,0,43.0,211.3375,Passageiro,,,,,,
Sim,2,0,13.0,7.2292,Passageiro,,,,,,
Sim,0,0,17.0,57.0,Passageiro,,,,,,
Não,0,1,29.0,30.0,Passageiro,,,,,,
Não,2,1,28.0,23.45,Passageiro,,,,,,
Não,2,1,25.0,7.05,Passageiro,,,,,,
Não,2,1,25.0,7.25,Passageiro,,,,,,
Sim,2,0,18.0,7.4958,Passageiro,,,,,,
Não,2,1,8.0,29.125,Passageiro,,,,,,
Sim,2,1,1.0,20.575,Passageiro,,,,,,
Não,0,1,46.0,79.2,Passageiro,,,,,,
Não,2,1,28.0,7.75,Passageiro,,,,,,
Não,1,1,16.0,26.0,Passageiro,,,,,,
Não,2,0,27.0,69.55,Passageiro,,,,,,
Não,0,1,28.0,30.6958,Passageiro,,,,,,
Não,2,1,25.0,7.8958,Passageiro,,,,,,
Não,1,1,39.0,13.0,Passageiro,,,,,,
Sim,0,0,49.0,25.9292,Passageiro,,,,,,
Sim,2,0,31.0,8.6833,Passageiro,,,,,,
Não,2,1,30.0,7.2292,Passageiro,,,,,,
Não,2,0,30.0,24.15,Passageiro,,,,,,
Não,1,1,34.0,13.0,Passageiro,,,,,,
Sim,1,0,31.0,26.25,Passageiro,,,,,,
Sim,0,1,11.0,120.0,Passageiro,,,,,,
Sim,2,1,0.42,8.5167,Passageiro,,,,,,
Sim,2,1,27.0,6.975,Passageiro,,,,,,
Não,2,1,31.0,7.775,Passageiro,,,,,,
Não,0,1,39.0,0.0,Passageiro,,,,,,
Não,2,0,18.0,7.775,Passageiro,,,,,,
Não,1,1,39.0,13.0,Passageiro,,,,,,
Sim,0,0,33.0,53.1,Passageiro,,,,,,
Não,2,1,26.0,7.8875,Passageiro,,,,,,
Não,2,1,39.0,24.15,Passageiro,,,,,,
Não,1,1,35.0,10.5,Passageiro,,,,,,
Não,2,0,6.0,31.275,Passageiro,,,,,,
Não,2,1,30.5,8.05,Passageiro,,,,,,
Não,0,1,28.0,0.0,Passageiro,,,,,,
Não,2,0,23.0,7.925,Passageiro,,,,,,
Não,1,1,31.0,37.0042,Passageiro,,,,,,
Não,2,1,43.0,6.45,Passageiro,,,,,,
Não,2,1,10.0,27.9,Passageiro,,,,,,
Sim,0,0,52.0,93.5,Passageiro,,,,,,
Sim,2,1,27.0,8.6625,Passageiro,,,,,,
Não,0,1,38.0,0.0,Passageiro,,,,,,
Sim,2,0,27.0,12.475,Passageiro,,,,,,
Não,2,1,2.0,39.6875,Passageiro,,,,,,
Não,2,1,28.0,6.95,Passageiro,,,,,,
Não,2,1,28.0,56.4958,Passageiro,,,,,,
Sim,1,1,1.0,37.0042,Passageiro,,,,,,
Sim,2,1,28.0,7.75,Passageiro,,,,,,
Sim,0,0,62.0,80.0,Passageiro,,,,,,
Sim,2,0,15.0,14.4542,Passageiro,,,,,,
Sim,1,1,0.83,18.75,Passageiro,,,,,,
Não,2,1,28.0,7.2292,Passageiro,,,,,,
Não,2,1,23.0,7.8542,Passageiro,,,,,,
Não,2,1,18.0,8.3,Passageiro,,,,,,
Sim,0,0,39.0,83.1583,Passageiro,,,,,,
Não,2,1,21.0,8.6625,Passageiro,,,,,,
Não,2,1,28.0,8.05,Passageiro,,,,,,
Sim,2,1,32.0,56.4958,Passageiro,,,,,,
Sim,0,1,28.0,29.7,Passageiro,,,,,,
Não,2,1,20.0,7.925,Passageiro,,,,,,
Não,1,1,16.0,10.5,Passageiro,,,,,,
Sim,0,0,30.0,31.0,Passageiro,,,,,,
Não,2,1,34.5,6.4375,Passageiro,,,,,,
Não,2,1,17.0,8.6625,Passageiro,,,,,,
Não,2,1,42.0,7.55,Passageiro,,,,,,
Não,2,1,28.0,69.55,Passageiro,,,,,,
Não,2,1,35.0,7.8958,Passageiro,,,,,,
Não,1,1,28.0,33.0,Passageiro,,,,,,
Sim,0,0,27.0,89.1042,Passageiro,,,,,,
Não,2,1,4.0,31.275,Passageiro,,,,,,
Não,2,1,74.0,7.775,Passageiro,,,,,,
Não,2,0,9.0,15.2458,Passageiro,,,,,,
